original_index,RA,DEC,nvotes,spiral,elliptical,dont_know,merger,type
222,240.151,-0.176,25,0.0799999982119,0.159999996424,0.0,0.800000011921,merger
223,240.151,-0.178,31,0.194000005722,0.128999993205,0.0649999976158,0.709999978542,merger
255,241.718,-0.005,32,0.374999992549,0.0619999989867,0.0939999967813,0.65600001812,merger
654,176.534,-1.121,30,0.0659999996424,0.40000000596,0.0,0.566999971867,merger
721,185.858,-1.209,41,0.0969999991357,0.293000012636,0.122000001371,0.537000000477,merger
765,193.789,-1.092,30,0.0659999996424,0.232999995351,0.10000000149,0.633000016212,merger
873,168.5,-0.737,57,0.21099999547,0.0879999995232,0.140000000596,0.666999995708,merger
961,183.001,-0.771,23,0.259999990463,0.0869999974966,0.173999994993,0.60900002718,merger
962,183.003,-0.766,58,0.586000025272,0.0340000018477,0.0340000018477,0.638000011444,merger
963,183.002,-0.77,39,0.358000010252,0.0509999990463,0.0509999990463,0.717999994755,merger
1050,199.955,-0.726,65,0.0299999993294,0.291999995708,0.168999999762,0.523000001907,merger
1057,201.106,-0.75,39,0.0520000010729,0.358999997377,0.103000000119,0.513000011444,merger
1067,203.576,-0.666,42,0.190000001341,0.238000005484,0.0949999988079,0.570999979973,merger
1108,207.874,-0.77,25,0.0,0.40000000596,0.0399999991059,0.560000002384,merger
1109,208.144,-0.814,32,0.25,0.187999993563,0.156000003219,0.53100001812,merger
1153,218.069,-0.671,53,0.0379999987781,0.301999986172,0.150999993086,0.527999997139,merger
1174,220.674,-0.635,33,0.423999994993,0.0909999981523,0.0610000006855,0.635999977589,merger
1234,230.935,-0.832,33,0.0,0.211999997497,0.120999999344,0.666999995708,merger
1327,167.465,-0.317,63,0.286000013351,0.0949999988079,0.111000001431,0.651000022888,merger
1351,170.691,-0.262,49,0.082000002265,0.286000013351,0.163000002503,0.509999990463,merger
1468,187.174,-0.337,33,0.0599999986589,0.333000004292,0.0299999993294,0.606000006199,merger
1588,212.771,-0.32,52,0.0759999975562,0.25,0.0579999983311,0.653999984264,merger
1594,213.621,-0.375,42,0.0,0.238000005484,0.0710000023246,0.689999997616,merger
1616,216.239,-0.375,55,0.43599998951,0.0,0.0,0.782000005245,merger
1744,236.163,-0.418,56,0.463999994099,0.0179999992251,0.0710000023246,0.679000020027,merger
1845,244.953,-0.287,39,0.0,0.384999990463,0.0,0.615000009537,merger
1848,245.284,-0.402,53,0.0759999975562,0.433999985456,0.0189999993891,0.509000003338,merger
1851,245.294,-0.397,33,0.120999999344,0.0299999993294,0.120999999344,0.787999987602,merger
1852,245.296,-0.397,28,0.142000004649,0.0,0.0710000023246,0.856999993324,merger
1860,245.873,-0.365,62,0.321999993175,0.177000001073,0.128999993205,0.532000005245,merger
1875,247.817,-0.377,25,0.0799999982119,0.360000014305,0.0399999991059,0.560000002384,merger
1878,248.013,-0.262,25,0.319999992847,0.20000000298,0.0799999982119,0.560000002384,merger
1886,248.414,-0.216,37,0.0540000014007,0.135000005364,0.0270000007004,0.81099998951,merger
1887,248.415,-0.218,27,0.0,0.111000001431,0.0370000004768,0.851999998093,merger
2129,207.905,0.165,61,0.230000000447,0.0659999996424,0.097999997437,0.721000015736,merger
2141,212.815,0.117,31,0.0640000030398,0.225999996066,0.097000002861,0.644999980927,merger
2210,223.864,0.053,37,0.270000007004,0.162000000477,0.108000002801,0.59500002861,merger
2221,225.624,0.128,34,0.236000001431,0.0590000003576,0.234999999404,0.587999999523,merger
2368,241.664,0.033,54,0.0,0.407000005245,0.0740000009537,0.518999993801,merger
2369,241.664,0.035,57,0.070000000298,0.333000004292,0.0179999992251,0.614000022411,merger
2400,243.272,0.204,30,0.20000000298,0.232999995351,0.10000000149,0.566999971867,merger
2504,170.685,0.46,39,0.0,0.358999997377,0.12800000608,0.513000011444,merger
2507,171.964,0.555,23,0.0860000029206,0.347999989986,0.0869999974966,0.522000014782,merger
2520,175.196,0.512,58,0.241999998689,0.0,0.189999997616,0.689999997616,merger
2521,175.197,0.514,34,0.293999999762,0.0879999995232,0.118000000715,0.647000014782,merger
2551,180.208,0.457,55,0.145999997854,0.236000001431,0.127000004053,0.56400001049,merger
2556,180.968,0.53,30,0.134000003338,0.266999989748,0.0670000016689,0.600000023842,merger
2557,180.969,0.53,28,0.142000004649,0.321000009775,0.0,0.606999993324,merger
2560,181.524,0.466,33,0.0,0.303000003099,0.151999995112,0.545000016689,merger
2684,207.983,0.55,33,0.544999999925,0.0,0.0,0.726999998093,merger
